char_comic_count,char_series_count,comics_url,description,id,name,resourceURI,thumbnail,thumbnail_ext,wiki_url
437,140,http://marvel.com/comics/characters/1009583/she-hulk_jennifer_walters?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"Seriously wounded, young lawyer Jennifer Walters was given a blood transfusion by her cousin Bruce Banner. Usually in better control of her powers and temper than the Hulk, She-Hulk has been a high profile New York lawyer as well as an upstanding member of both the Avengers and Fantastic Four.",1009583,She-Hulk (Jennifer Walters),http://gateway.marvel.com/v1/public/characters/1009583,http://i.annihil.us/u/prod/marvel/i/mg/7/20/527bb5d64599e,jpg,http://marvel.com/universe/She-Hulk_(Jennifer_Walters)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
1333,339,http://marvel.com/comics/characters/1009299/fantastic_four?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"After being exposed to cosmic rays, Reed Richards, Susan Storm, Ben Grimm and Johnny Storm found they had amazing new powers. Reed Richards found he has the ability to stretch his body in any way he wanted, while Susan Storm can turn herself, objects and other people invisible. Ben Grimm transformed into a rocky, super-strong behemoth and Johnny Storm has the ability to set himself on fire. Dubbed the Fantastic Four, Mr. Fantastic, Invisible Woman, Thing and the Human Torch are Marvel's First Family.",1009299,Fantastic Four,http://gateway.marvel.com/v1/public/characters/1009299,http://i.annihil.us/u/prod/marvel/i/mg/9/60/50febc4f55525,jpg,http://marvel.com/universe/Fantastic_Four?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
92,43,http://marvel.com/comics/characters/1010801/ant-man_scott_lang?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,,1010801,Ant-Man (Scott Lang),http://gateway.marvel.com/v1/public/characters/1010801,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0,jpg,http://marvel.com/universe/Ant-Man_(Scott_Lang)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
818,204,http://marvel.com/comics/characters/1009629/storm?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"Ororo Monroe is the descendant of an ancient line of African priestesses, all of whom have white hair, blue eyes, and the potential to wield magic.",1009629,Storm,http://gateway.marvel.com/v1/public/characters/1009629,http://i.annihil.us/u/prod/marvel/i/mg/6/40/526963dad214d,jpg,http://marvel.com/universe/Storm?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
1123,280,http://marvel.com/comics/characters/1009262/daredevil?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"Abandoned by his mother, Matt Murdock was raised by his father, boxer ""Battling Jack"" Murdock, in Hell's Kitchen. Realizing that rules were needed to prevent people from behaving badly, young Matt decided to study law; however, when he saved a man from an oncoming truck, it spilled a radioactive cargo that rendered Matt blind while enhancing his remaining senses. Under the harsh tutelage of blind martial arts master Stick, Matt mastered his heightened senses and became a formidable fighter.",1009262,Daredevil,http://gateway.marvel.com/v1/public/characters/1009262,http://i.annihil.us/u/prod/marvel/i/mg/d/50/50febb79985ee,jpg,http://marvel.com/universe/Daredevil_(Matthew_Murdock)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
463,167,http://marvel.com/comics/characters/1010338/captain_marvel_carol_danvers?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,,1010338,Captain Marvel (Carol Danvers),http://gateway.marvel.com/v1/public/characters/1010338,http://i.annihil.us/u/prod/marvel/i/mg/6/80/5269608c1be7a,jpg,http://marvel.com/universe/Ms._Marvel_(Carol_Danvers)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
495,192,http://marvel.com/comics/characters/1009189/black_widow?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,,1009189,Black Widow,http://gateway.marvel.com/v1/public/characters/1009189,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b,jpg,http://marvel.com/universe/Black_Widow_(Natasha_Romanova)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
187,71,http://marvel.com/comics/characters/1009297/falcon?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"With a mental connection to all birds and a suit that gives him wings to fly, The Falcon has been both the partner to Captain America and an Avenger himself. Whether as a super hero or in his secret identity of social worker Sam Wilson, The Falcon dedicates his life to standing up for others.",1009297,Falcon,http://gateway.marvel.com/v1/public/characters/1009297,http://i.annihil.us/u/prod/marvel/i/mg/f/b0/5111505fb7009,jpg,http://marvel.com/universe/Falcon_(Sam_Wilson)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
185,90,http://marvel.com/comics/characters/1010740/winter_soldier?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,,1010740,Winter Soldier,http://gateway.marvel.com/v1/public/characters/1010740,http://i.annihil.us/u/prod/marvel/i/mg/d/03/5265478293c1e,jpg,http://marvel.com/universe/Captain_America_(James_Barnes)?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
119,34,http://marvel.com/comics/characters/1010747/runaways?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1,"The teens who became the Runaways found that some family secrets are bigger than others when they witnessed their parents, part of a cabal known as the Pride, murdering a young girl during a secret sacrificial ritual. ",1010747,Runaways,http://gateway.marvel.com/v1/public/characters/1010747,http://i.annihil.us/u/prod/marvel/i/mg/f/60/535fec953eaab,jpg,http://marvel.com/universe/Runaways?utm_campaign=apiRef&utm_source=33526dc38e03c0336d3e6197107652b1
